frame,landmark_id,x,y,z,visibility
0,0,0.4489035904407501,0.18607781827449799,-1.3084036111831665,0.9974532723426819
0,1,0.4807640016078949,0.1671072244644165,-1.2159587144851685,0.9927517175674438
0,2,0.5006226301193237,0.16753140091896057,-1.2167657613754272,0.9916640520095825
0,3,0.5196444988250732,0.16806727647781372,-1.2166342735290527,0.9928112626075745
0,4,0.4173320233821869,0.1668369174003601,-1.2281575202941895,0.9954711198806763
0,5,0.3997029662132263,0.16731956601142883,-1.2295091152191162,0.9967605471611023
0,6,0.38171082735061646,0.16813811659812927,-1.2303494215011597,0.9971575736999512
0,7,0.5385282039642334,0.17474955320358276,-0.6895185112953186,0.9951411485671997
0,8,0.360516756772995,0.17540442943572998,-0.7430062294006348,0.9933825731277466
0,9,0.4852486550807953,0.20240867137908936,-1.0997967720031738,0.9973432421684265
0,10,0.4117664694786072,0.20494063198566437,-1.1233298778533936,0.9975772500038147
0,11,0.6852667927742004,0.2634161710739136,-0.3733406662940979,0.9997617602348328
0,12,0.2435937523841858,0.27102378010749817,-0.4602952003479004,0.9996634721755981
0,13,0.7994846701622009,0.38861650228500366,-0.6826868057250977,0.9783120155334473
0,14,0.13031154870986938,0.3935827314853668,-0.8966624140739441,0.9511062502861023
0,15,0.5755209922790527,0.42558830976486206,-1.480195164680481,0.9342690110206604
0,16,0.3887064456939697,0.4460906982421875,-1.651896595954895,0.9156187772750854
0,17,0.5244226455688477,0.4591795802116394,-1.6698732376098633,0.924521803855896
0,18,0.44948410987854004,0.47131678462028503,-1.861626386642456,0.8965969681739807
0,19,0.4849854111671448,0.4504813253879547,-1.7074161767959595,0.927154541015625
0,20,0.48930487036705017,0.45741909742355347,-1.8590677976608276,0.8957358002662659
0,21,0.49235108494758606,0.44089967012405396,-1.5046700239181519,0.8949643969535828
0,22,0.47594472765922546,0.4480571746826172,-1.6648818254470825,0.85614413022995
0,23,0.6273244023323059,0.4767147898674011,0.029975255951285362,0.9996801614761353
0,24,0.35092025995254517,0.48599645495414734,-0.03105252981185913,0.9996830224990845
0,25,0.7067948579788208,0.4739132225513458,-1.7981398105621338,0.9830427169799805
0,26,0.36059266328811646,0.49956658482551575,-1.7727915048599243,0.9751958250999451
0,27,0.7364369034767151,0.7596523761749268,-1.6396085023880005,0.9766179323196411
0,28,0.4142991006374359,0.7834975123405457,-1.655500054359436,0.9873449206352234
0,29,0.7156043648719788,0.7828726768493652,-1.6570358276367188,0.8976169228553772
0,30,0.44811442494392395,0.8138595819473267,-1.6692860126495361,0.9317511916160583
0,31,0.7370971441268921,0.8701058626174927,-2.414022445678711,0.969839334487915
0,32,0.3516022562980652,0.9055779576301575,-2.418423891067505,0.9772239923477173
1,0,0.4498656690120697,0.18662653863430023,-1.237263798713684,0.9973136782646179
1,1,0.480771541595459,0.16783086955547333,-1.1395121812820435,0.9922497272491455
1,2,0.5010101199150085,0.16821672022342682,-1.1402703523635864,0.9911225438117981
1,3,0.5197989344596863,0.16859664022922516,-1.1401373147964478,0.992260754108429
1,4,0.4189094305038452,0.16752871870994568,-1.1540671586990356,0.9952007532119751
1,5,0.4017464816570282,0.16781097650527954,-1.1554096937179565,0.9966012835502625
1,6,0.38331738114356995,0.16850516200065613,-1.1562488079071045,0.9970147013664246
1,7,0.5384088754653931,0.17485177516937256,-0.5976083278656006,0.9948828816413879
1,8,0.3612033724784851,0.17562343180179596,-0.661541759967804,0.993191123008728
1,9,0.48561665415763855,0.2027035355567932,-1.0241551399230957,0.9972203969955444
